(ii) Identify Peak Booking Weeks,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
arrival_date_year,arrival_date_month,arrival_date_week_number,total_bookings,,,,,,,,,,
2016,October,42,1534,,,,,,,,,,
2017,May,20,1522,,,,,,,,,,
2016,June,25,1468,,,SQL QUERY,,,,,,,
2017,April,17,1466,,,,,,,,,,
2016,May,21,1452,,,,,,,,,,
2016,April,18,1437,,,,,,,,,,
2016,October,43,1420,,,"SELECT 
    arrival_date_year,
    arrival_date_month,
    arrival_date_week_number,
    COUNT(booking_id) AS total_bookings
FROM booking_details
GROUP BY arrival_date_year, arrival_date_month, arrival_date_week_number
ORDER BY total_bookings DESC;",,,,,,,
2017,April,15,1419,,,,,,,,,,
2016,October,44,1406,,,,,,,,,,
2017,May,21,1402,,,,,,,,,,
2015,October,41,1401,,,,,,,,,,
2015,September,38,1371,,,,,,,,,,
2017,July,28,1354,,,,,,,,,,
2016,March,13,1341,,,,,,,,,,
2016,April,17,1339,,,,,,,,,,
2017,May,18,1335,,,,,,,,,,
2015,September,39,1304,,,,,,,,,,
2017,June,23,1304,,,,,,,,,,
2016,October,41,1298,,,,,,,,,,
2017,June,24,1295,,,,,,,,,,
2016,September,38,1290,,,,,,,,,,
2016,September,39,1277,,,,,,,,,,
2017,May,19,1273,,,,,,,,,,
2016,April,15,1270,,,,,,,,,,
2016,May,20,1263,,,,,,,,,,
2017,April,14,1261,,,,,,,,,,
2017,April,16,1229,,,,,,,,,,
2017,August,33,1227,,,,,,,,,,
2017,February,8,1223,,,,,,,,,,
2015,October,42,1222,,,,,,,,,,
2016,August,34,1215,,,,,,,,,,
2017,July,30,1211,,,,,,,,,,
2016,June,24,1203,,,,,,,,,,
2017,June,25,1195,,,,,,,,,,
2016,August,33,1185,,,,,,,,,,
2016,September,40,1185,,,,,,,,,,
2017,July,27,1179,,,,,,,,,,
2016,April,16,1176,,,,,,,,,,
2017,March,11,1171,,,,,,,,,,
2015,August,33,1168,,,,,,,,,,
2017,February,7,1160,,,,,,,,,,
2016,November,46,1153,,,,,,,,,,
2017,June,26,1148,,,,,,,,,,
2015,September,37,1132,,,,,,,,,,
2016,May,19,1129,,,,,,,,,,
2017,March,10,1122,,,,,,,,,,
2016,July,30,1106,,,,,,,,,,
2016,September,37,1097,,,,,,,,,,
2017,August,32,1094,,,,,,,,,,
2016,August,35,1087,,,,,,,,,,
2016,December,53,1077,,,,,,,,,,
2017,July,29,1069,,,,,,,,,,
2016,May,22,1060,,,,,,,,,,
2016,June,26,1059,,,,,,,,,,
2017,August,34,1055,,,,,,,,,,
2016,March,12,1050,,,,,,,,,,
2016,November,45,1035,,,,,,,,,,
2017,March,12,1033,,,,,,,,,,
2016,July,31,1030,,,,,,,,,,
2016,July,28,1014,,,,,,,,,,
2016,July,29,1001,,,,,,,,,,
2016,November,47,1001,,,,,,,,,,
2016,February,9,996,,,,,,,,,,
2016,February,8,993,,,,,,,,,,
2016,August,32,985,,,,,,,,,,
2016,February,7,949,,,,,,,,,,
2017,March,13,943,,,,,,,,,,
2015,October,43,932,,,,,,,,,,
2017,January,4,914,,,,,,,,,,
2016,March,11,899,,,,,,,,,,
2016,December,50,898,,,,,,,,,,
2016,November,48,890,,,,,,,,,,
2017,January,3,870,,,,,,,,,,
2015,October,44,866,,,,,,,,,,
2015,August,32,852,,,,,,,,,,
2017,January,2,821,,,,,,,,,,
2017,January,1,820,,,,,,,,,,
2016,June,27,819,,,,,,,,,,
2017,August,31,816,,,,,,,,,,
2015,September,36,815,,,,,,,,,,
2017,February,6,812,,,,,,,,,,
2016,March,14,797,,,,,,,,,,
2017,May,22,781,,,,,,,,,,
2015,August,35,773,,,,,,,,,,
2015,July,30,770,,,,,,,,,,
2015,August,34,770,,,,,,,,,,
2015,December,49,769,,,,,,,,,,
2016,June,23,743,,,,,,,,,,
2015,December,53,739,,,,,,,,,,
2016,March,10,737,,,,,,,,,,
2017,August,35,733,,,,,,,,,,
2016,December,52,705,,,,,,,,,,
2017,June,22,705,,,,,,,,,,
2017,March,9,701,,,,,,,,,,
2015,July,29,693,,,,,,,,,,
2015,November,47,684,,,,,,,,,,
2016,February,6,663,,,,,,,,,,
2016,December,51,618,,,,,,,,,,
2015,November,48,614,,,,,,,,,,
